epoch,train loss,reg loss,train acc,test loss,test acc
0,2.0720369027211114,0.0,tensor(24.5238),1.8794523891624626,tensor(31.8900)
1,1.8184765451993699,0.0,tensor(36.4253),1.323414401129798,tensor(53.0800)
2,1.6673026494490795,0.0,tensor(44.3549),1.1193200140087693,tensor(61.6100)
3,1.5292089636509234,0.0,tensor(50.4618),0.9904681219233645,tensor(66.3500)
4,1.4281231114497552,0.0,tensor(55.3635),0.8594219889846053,tensor(71.9700)
5,1.331440918567853,0.0,tensor(58.9588),0.816727333255597,tensor(74.0500)
6,1.3134988439388764,0.0,tensor(59.6262),0.8017193626265626,tensor(75.8000)
7,1.296564582677988,0.0,tensor(60.3288),0.6896673297888046,tensor(79.7900)
8,1.2651374933047173,0.0,tensor(60.9992),0.6729691619719113,tensor(81.8800)
9,1.2414620773914533,0.0,tensor(62.6353),0.6124111645453207,tensor(82.4200)
10,1.2242592974351003,0.0,tensor(63.1521),0.6587482777771888,tensor(82.0400)
11,1.1976254145304361,0.0,tensor(64.1368),0.632418287304548,tensor(81.9000)
12,1.1947332752820774,0.0,tensor(63.9687),0.5651666336768383,tensor(84.6100)
13,1.166957057057283,0.0,tensor(65.0708),0.5376361020662643,tensor(86.0200)
14,1.151581365404985,0.0,tensor(65.8611),0.53146215500655,tensor(86.1100)
15,1.2093221649909631,0.0,tensor(63.9132),0.5345348767690115,tensor(85.0300)
16,1.1433855039951129,0.0,tensor(65.8964),0.5201062242219875,tensor(85.4700)
17,1.1452824275463056,0.0,tensor(65.6944),0.4933654171031517,tensor(86.7400)
18,1.1009435047705969,0.0,tensor(67.4558),0.472110719599941,tensor(87.1100)
19,1.1549379230309755,0.0,tensor(65.1402),0.555234761731522,tensor(85.6000)
20,1.1158882363866538,0.0,tensor(66.5036),0.5647424890233709,tensor(86.3100)
21,1.0962895669998267,0.0,tensor(67.4228),0.5107228924204279,tensor(86.7900)
22,1.0563963268047725,0.0,tensor(68.6633),0.4889097039376174,tensor(88.7100)
23,1.0801536795420525,0.0,tensor(67.5511),0.5085608282604733,tensor(86.2800)
24,1.1162374852559505,0.0,tensor(66.4098),0.5222740948975861,tensor(87.8500)
25,1.089504744265324,0.0,tensor(67.4847),0.5381902423169878,tensor(87.4400)
26,1.067609498783564,0.0,tensor(68.3228),0.5623156915645342,tensor(87.9100)
27,1.065210673213005,0.0,tensor(68.2802),0.5084677389613143,tensor(86.7300)
28,1.081753294590192,0.0,tensor(67.3499),0.4630505420991012,tensor(88.9100)
29,1.0530240103220327,0.0,tensor(68.3546),0.4840140176621882,tensor(87.2300)
30,1.0855931071516796,0.0,tensor(67.5286),0.49764276547236247,tensor(89.2600)
31,1.050643431605437,0.0,tensor(68.4895),0.5202057358619567,tensor(88.0200)
32,1.0288559497166903,0.0,tensor(69.4513),0.4261046068834232,tensor(89.1900)
33,1.0459641188765183,0.0,tensor(68.9311),0.5134414755725287,tensor(87.9200)
34,1.0234172112284563,0.0,tensor(69.3247),0.4952814551116945,tensor(87.0400)
35,1.0384922962540235,0.0,tensor(69.0961),0.4748104847855754,tensor(89.3700)
36,1.0365930254260698,0.0,tensor(69.0055),0.47282462251615953,tensor(88.8000)
37,1.0437262952327728,0.0,tensor(68.6277),0.5076439402572386,tensor(88.8000)
38,1.0105362691940405,0.0,tensor(70.1428),0.4689481699162417,tensor(89.4700)
39,1.020833300627195,0.0,tensor(69.6880),0.5631466859483624,tensor(85.9000)
40,1.0430031989629451,0.0,tensor(68.8367),0.5195676201993639,tensor(87.9600)
41,1.021992226365285,0.0,tensor(69.0421),0.5145004221477786,tensor(89.3400)
42,1.007750388292166,0.0,tensor(69.4492),0.47895074591741665,tensor(89.0900)
43,1.033743962378074,0.0,tensor(69.0564),0.43094407654441036,tensor(89.5000)
44,1.0062795342925268,0.0,tensor(70.0465),0.4965330598143128,tensor(88.5400)
45,1.032783745878782,0.0,tensor(68.8550),0.5072213373742662,tensor(88.1600)
46,1.0264615589227433,0.0,tensor(69.0704),0.45622033529632444,tensor(90.4500)
47,1.0246793703773083,0.0,tensor(68.9781),0.49802907196072127,tensor(87.9200)
48,1.0013503319942034,0.0,tensor(69.7815),0.43533153749920345,tensor(90.1800)
49,0.9851135699794843,0.0,tensor(70.9213),0.418873122773013,tensor(89.7600)
