epoch,train loss,reg loss,train acc,test loss,test acc
0,2.100618749092787,0.0,tensor(21.6077),2.1376278477984743,tensor(25.3200)
1,1.764318573780549,0.0,tensor(33.7443),1.7035367058084772,tensor(36.4800)
2,1.610871132214864,0.0,tensor(40.3122),1.4999687402575343,tensor(45.4500)
3,1.5062568826553149,0.0,tensor(44.3804),1.5993926372375336,tensor(45.5000)
4,1.415996884382688,0.0,tensor(48.4339),1.23912953301235,tensor(55.7900)
5,1.3173926665232731,0.0,tensor(52.4218),1.1495318206938896,tensor(58.0200)
6,1.2413405559001824,0.0,tensor(55.4179),1.070878626154111,tensor(61.5100)
7,1.1698424799320026,0.0,tensor(58.1125),1.0612223927263502,tensor(63.4100)
8,1.0911959504469848,0.0,tensor(60.9650),1.172529104429561,tensor(61.6900)
9,1.0431207719521645,0.0,tensor(62.6821),0.8722109999563601,tensor(69.4900)
10,1.003295272283065,0.0,tensor(64.3783),0.9162664596733447,tensor(68.6900)
11,0.9650768133310171,0.0,tensor(65.5785),0.8991591398332928,tensor(69.8800)
12,0.9364770834262555,0.0,tensor(67.0170),0.7637647283193585,tensor(73.8500)
13,0.9003003563636388,0.0,tensor(68.3271),0.6954823388784259,tensor(76.2800)
14,0.8739938223973299,0.0,tensor(69.1359),0.7127767317034341,tensor(75.6900)
15,0.8500512425716107,0.0,tensor(69.9074),0.7204964686505817,tensor(75.6700)
16,0.8287455010108459,0.0,tensor(70.8402),0.7305195909757931,tensor(75.5700)
17,0.8153944201194323,0.0,tensor(71.2882),0.693470682697119,tensor(76.7700)
18,0.7966006244604404,0.0,tensor(72.0811),0.7845210530893044,tensor(73.6000)
19,0.7761047912713809,0.0,tensor(72.6141),0.688240795962147,tensor(76.1600)
20,0.7572113409256324,0.0,tensor(73.1035),0.6901829525626995,tensor(76.8900)
21,0.7604513857609186,0.0,tensor(73.2295),0.6354621723527322,tensor(78.4600)
22,0.7451274916911736,0.0,tensor(73.9425),0.6936266535839012,tensor(76.4000)
23,0.7288261250043526,0.0,tensor(74.4472),0.7025169922249602,tensor(76.6400)
24,0.7215892896438256,0.0,tensor(74.6547),0.6022164669238381,tensor(80.0500)
25,0.7087559235401643,0.0,tensor(75.0841),0.6346765786066308,tensor(78.4800)
26,0.6991778249159838,0.0,tensor(75.2908),0.6466176437570138,tensor(79.0700)
27,0.6925551395385693,0.0,tensor(75.5345),0.5934343884703241,tensor(80.2500)
28,0.6812059953426703,0.0,tensor(76.0612),0.5966081085751902,tensor(79.8300)
29,0.6903101842372845,0.0,tensor(76.1429),0.5826356690115966,tensor(80.1900)
30,0.6758104983048562,0.0,tensor(76.2363),0.5420822779763605,tensor(82.1600)
31,0.6620589479421958,0.0,tensor(76.7195),0.6082667343353888,tensor(80.6300)
32,0.656092824614965,0.0,tensor(77.0848),0.5447210452143658,tensor(82.0500)
33,0.6465668541498674,0.0,tensor(77.1064),0.5799330443375044,tensor(81.0800)
34,0.6491987246733445,0.0,tensor(77.3617),0.5820484256149979,tensor(80.2900)
35,0.6374388363116826,0.0,tensor(77.6752),0.5857617481275125,tensor(80.8000)
36,0.6394381902920894,0.0,tensor(77.5977),0.5418587041304664,tensor(81.3100)
37,0.6310606673741952,0.0,tensor(78.1871),0.490420900457245,tensor(83.4300)
38,0.6323603679736455,0.0,tensor(77.9938),0.5130438898103656,tensor(82.4700)
39,0.6175973003491377,0.0,tensor(78.1635),0.6383876755313428,tensor(79.2800)
40,0.6116889502375554,0.0,tensor(78.3724),0.5186494973108724,tensor(82.8000)
41,0.6101048623140042,0.0,tensor(78.6285),0.5102720197927145,tensor(82.7700)
42,0.603451278920357,0.0,tensor(78.7613),0.5090854486860279,tensor(83.2500)
43,0.6115239436809833,0.0,tensor(78.6777),0.5542401656945674,tensor(82.1800)
44,0.6044876565917944,0.0,tensor(79.0852),0.5551191600374281,tensor(81.6700)
45,0.5930717901923718,0.0,tensor(79.1411),0.5096855457010749,tensor(83.5600)
46,0.5998652394383381,0.0,tensor(78.8963),0.45850599035238465,tensor(84.7200)
47,0.5779115232901696,0.0,tensor(79.5953),0.589195183907133,tensor(81.0900)
48,0.5850482313296734,0.0,tensor(79.7449),0.5577369484793138,tensor(82.6700)
49,0.5834437051262611,0.0,tensor(79.7183),0.5154586528340267,tensor(83.0400)
