epoch,train loss,reg loss,train acc,test loss,test acc
0,2.4601073344548543,0.0,tensor(3.6481),2.1327501358809293,tensor(19.6900)
1,2.1200392982898615,0.0,tensor(5.4236),1.8781836779864582,tensor(28.4700)
2,2.0232473905269917,0.0,tensor(6.5036),1.7376045073355522,tensor(34.3100)
3,1.9550465553234786,0.0,tensor(7.2036),1.7090764028412682,tensor(37.4700)
4,1.8853132822574714,0.0,tensor(7.6864),1.5364321627177753,tensor(41.6800)
5,1.8291747441658608,0.0,tensor(7.8788),1.4668521672875077,tensor(47.9400)
6,1.778984818703089,0.0,tensor(8.3281),1.3457299857526213,tensor(50.9100)
7,1.734819933695671,0.0,tensor(8.2808),1.3438887958591048,tensor(50.7700)
8,1.6859804639449487,0.0,tensor(8.6083),1.2642372997554097,tensor(55.0800)
9,1.6222331202947176,0.0,tensor(8.7591),1.082405927899602,tensor(61.6000)
10,1.5591915610509042,0.0,tensor(9.1039),1.1396155699237331,tensor(60.6900)
11,1.5126821646323572,0.0,tensor(9.1562),0.9188510530494951,tensor(67.5700)
12,1.4697298013246975,0.0,tensor(9.4508),0.8778203220308961,tensor(69.8700)
13,1.4163792656018184,0.0,tensor(9.7133),0.7980127735613464,tensor(72.3800)
14,1.3909066032140682,0.0,tensor(10.0676),0.8245210446066804,tensor(72.2500)
15,1.333142458781218,0.0,tensor(10.2910),0.7029955498613156,tensor(76.8500)
16,1.3358783228275104,0.0,tensor(10.2733),0.6382874740218675,tensor(79.0700)
17,1.3064688563346862,0.0,tensor(10.4845),0.7764346209747178,tensor(74.1400)
18,1.2786222914854686,0.0,tensor(10.6875),0.6532155826754935,tensor(78.5500)
19,1.2664244518830226,0.0,tensor(10.8979),0.6547508403599203,tensor(78.1600)
20,1.2377549772079175,0.0,tensor(10.9737),0.6352593472173383,tensor(79.2300)
21,1.236922581684895,0.0,tensor(11.2059),0.5973032475845353,tensor(80.5400)
22,1.2237498868734409,0.0,tensor(11.1345),0.5424293291655269,tensor(83.0800)
23,1.2101816129990113,0.0,tensor(11.2943),0.5441976962862788,tensor(82.9200)
24,1.195973950624466,0.0,tensor(11.5200),0.5052517154762098,tensor(83.1700)
25,1.1912981485709166,0.0,tensor(11.5165),0.5303795746153778,tensor(82.6800)
26,1.1780869821707407,0.0,tensor(11.5297),0.4555226859149035,tensor(85.4700)
27,1.1843723272665954,0.0,tensor(11.5956),0.4534938393479532,tensor(85.4900)
28,1.1568547666072846,0.0,tensor(11.7592),0.5194848310929518,tensor(82.6000)
29,1.1600934841693975,0.0,tensor(11.8012),0.48537060906467316,tensor(84.3800)
30,1.145761392513911,0.0,tensor(11.8521),0.4771566883445502,tensor(84.5400)
31,1.1396424304216335,0.0,tensor(11.9584),0.4684561189484071,tensor(85.3400)
32,1.1355082053404588,0.0,tensor(11.8774),0.4707666166887448,tensor(85.8100)
33,1.1252422834054017,0.0,tensor(11.9311),0.5288075313710414,tensor(83.2400)
34,1.1052061531788264,0.0,tensor(12.0979),0.4297084985459382,tensor(86.5000)
35,1.11853432624768,0.0,tensor(12.0367),0.45143975119467256,tensor(85.5900)
36,1.107396589181362,0.0,tensor(12.0242),0.49134162143506743,tensor(84.5800)
37,1.109683642631922,0.0,tensor(12.2277),0.4122576197074191,tensor(87.5900)
38,1.1000346339665927,0.0,tensor(12.2137),0.44982839820606335,tensor(85.7800)
39,1.1032094136262551,0.0,tensor(12.2532),0.39205753822830525,tensor(87.3200)
40,1.096496440966924,0.0,tensor(12.2681),0.4794520674174553,tensor(84.6300)
41,1.085234252917461,0.0,tensor(12.4427),0.42419131779605085,tensor(86.0900)
42,1.0820674456082857,0.0,tensor(12.4548),0.43470949125480846,tensor(86.4800)
43,1.0946920825884892,0.0,tensor(12.3349),0.4362795021724295,tensor(85.9600)
44,1.0706402969666016,0.0,tensor(12.4602),0.4043744809839789,tensor(86.8900)
45,1.0822703233131996,0.0,tensor(12.5205),0.3969399400178466,tensor(87.6800)
46,1.0661021246359899,0.0,tensor(12.4146),0.39215939719457404,tensor(87.3500)
47,1.0740982772448124,0.0,tensor(12.6046),0.40733731076404733,tensor(88.0900)
48,1.0610773428892477,0.0,tensor(12.5041),0.45368749387860596,tensor(85.3600)
49,1.0713156394469432,0.0,tensor(12.5216),0.34607684806369626,tensor(89.4600)
